1463470,2489338
1747951,5176036
2613291,3677322
1137991,2065780
1095769,2232503
1138469,2019326
1159440,2560901
1204627,2243883
1207479,2208124
1258419,2210944
1302387,2290740
1220656,2175823
2683644,3706005
1135121,2243232
3564821,4566167
1651191,2619787
1429750,2584042
2898179,3902067
1105120,2572916
47154357,48265319
3551932,4572672
1132933,2245264
1827211,3467800
2133261,4059595
1151425,2344554
3852251,4905899
1168944,2111637
1919915,2873461
1253414,2304150
1035597,1975215
1128224,3077692
1074004,2098821
1253552,2198416
1159950,2101093
1108729,2019022
1879641,2727705
1241006,2344491
1294651,2285858
1167230,2267616
1111862,2208321
2441626,3334754
1060433,1950652
1121930,2179319
2008188,2915569
1107886,2058870
3717765,4618629
1918564,2746004
7342886,8361963
2620779,3583343
1702742,2714077
2200918,4266014
2025300,3615479
1815799,3408308
1138103,2306705
1032933,2653946
1131038,2032058
1135061,1975248
1134958,2048765
1235456,2180178
1047619,1955962
1152288,2177601
1136604,2223036
1057768,1990781
2819554,3777000
1201037,2153398
1144136,2055307
1157825,2100413
1358183,2274991
1085255,2064419
2683492,3575470
1247215,2103264
27137740,28922498
1215564,2092036
1130494,1964756
14897836,15984923
1129783,2006844
1078699,1980749
1619258,2678172
2705600,4883859
2771989,3940748
1080670,2010251
1081802,1933624
1096641,1971145
1110618,2050646
1003172,1800933
1009370,1830008
1171347,2030797
1013857,1869108
1158884,2066873
1055848,2017580
1200700,2140794
1102227,2149619
2523167,3446542
1065387,2016240
1157924,1982082
1062651,2017143
1376216,2635384
1176235,2192214
1136925,1906477
1057855,1845629
1066722,1908372
1180282,2689400
1222573,1995347
966523,1854325
18246672,19197238
903633,1765952
948159,1843644
1014970,1917496
3371430,4261735
976010,1841448
1374427,2231624
1099957,1957925
1098236,1913005
1009271,1909931
1003023,1746630
979796,1701829
3574760,4443254
1101302,1982366
1079133,1964555
976103,1849514
1128155,1852333
1019377,1730342
1038839,1927321
53858495,54952765
2620458,7460243
1005855,1826113
1049970,1909661
1152145,1932477
1244813,2017165
983334,1717624
867390,1503555
925892,2115361
982765,1816319
1050225,1741208
1756777,2607585
5800496,6609551
1018114,1755422
1031547,1774199
2638903,3419794
998623,1867580
937105,1617863
1023696,1779131
1023864,1756256
1045359,1788694
1034455,1706959
1243556,2160024
950692,1731665
1035470,1891725
940892,1731047
1088022,2867463
1258514,2881488
18138004,19169601
1212934,2120895
966289,1940274
